	chord	root	r_chromaticity	ct	ct_chromaticity	nct	nct_chromaticity	version
93873	I	0	0	[4, 1]	0	[-1, 0, 2]	0	thema
93874	I6	0	0	[4, 1]	0	[]	0	thema
93875	V6	1	0	[5, 2]	0	[0, 1, 4]	0	thema
93876	V43	1	0	[2, -1, 5]	0	[1]	0	thema
93877	vi7	3	0	[0, 4, 1]	0	[3]	0	thema
93878	V6	1	0	[5, 2]	0	[1]	0	thema
93879	I	0	0	[4, 1]	0	[0]	0	thema
93880	ii6	2	0	[-1, 3]	0	[1, 2]	0	thema
93881	V(64)	1	0	[0, 4]	0	[1]	0	thema
93882	V	1	0	[5, 2]	0	[]	0	thema
93883	I	0	0	[4, 1]	0	[-1, 0, 2]	0	thema
93884	I6	0	0	[4, 1]	0	[]	0	thema
93885	V6	1	0	[5, 2]	0	[0, 1, 4]	0	thema
93886	V43	1	0	[2, -1, 5]	0	[1]	0	thema
93887	vi7	3	0	[0, 4, 1]	0	[3]	0	thema
93888	V6	1	0	[5, 2]	0	[1]	0	thema
93889	I	0	0	[4, 1]	0	[0]	0	thema
93890	ii6	2	0	[-1, 3]	0	[2]	0	thema
93891	V(64)	1	0	[0, 4]	0	[1]	0	thema
93892	V7	1	0	[5, 2, -1]	0	[1]	0	thema
93893	I	0	0	[4, 1]	0	[0, 3]	0	thema
