	corpus	piece	quarterbeats	chord	chord_tones	root	tones_in_span	ct	nct	r_chromaticity	ct_chromaticity	nct_chromaticity
93963	mozart_piano_sonatas	K331-1	109.0	V43	[2, -1, 1, 5]	1	[-1, 1, 2, 4, 6]	[2, -1, 5]	[1, 4, 6]	0	0	1
93964	mozart_piano_sonatas	K331-1	109.5	I6	[4, 1, 0]	0	[6, 1, 4]	[4, 1]	[6]	0	0	1
93965	mozart_piano_sonatas	K331-1	110.5	I	[0, 4, 1]	0	[-1, 0, 1, 3, 4, 6]	[4, 1]	[-1, 0, 3, 6]	0	0	1
93966	mozart_piano_sonatas	K331-1	111.0	V6	[5, 2, 1]	1	[5, 6, 1, 2]	[5, 2]	[6, 1]	0	0	1
93967	mozart_piano_sonatas	K331-1	112.0	I	[0, 4, 1]	0	[0, 1, 2, 4, 6]	[4, 1]	[0, 2, 6]	0	0	1
93968	mozart_piano_sonatas	K331-1	112.5	V43	[2, -1, 1, 5]	1	[6, -1, 1, 2]	[2, -1, 5]	[6, 1]	0	0	1
93969	mozart_piano_sonatas	K331-1	113.5	V65	[5, 2, -1, 1]	1	[-1, 1, 2, 4, 5, 6]	[5, 2, -1]	[1, 4, 6]	0	0	1
93970	mozart_piano_sonatas	K331-1	114.0	vi7	[3, 0, 4, 1]	3	[0, 1, 3, 5, 6]	[0, 4, 1]	[3, 5, 6]	0	0	1
93971	mozart_piano_sonatas	K331-1	115.5	V65	[5, 2, -1, 1]	1	[-1, 0, 1, 2, 5]	[5, 2, -1]	[0, 1]	0	0	0
93972	mozart_piano_sonatas	K331-1	117.0	I	[0, 4, 1]	0	[0, 1, 4]	[4, 1]	[0]	0	0	0
93973	mozart_piano_sonatas	K331-1	118.0	ii6	[-1, 3, 2]	2	[-1, 1, 2, 3]	[-1, 3]	[1, 2]	0	0	0
93974	mozart_piano_sonatas	K331-1	118.5	V(64)	[1, 0, 4]	1	[0, 1, 4]	[0, 4]	[1]	0	0	0
93975	mozart_piano_sonatas	K331-1	119.5	V	[1, 5, 2]	1	[5, 1, 2]	[5, 2]	[1]	0	0	0
93976	mozart_piano_sonatas	K331-1	120.0	I	[0, 4, 1]	0	[-1, 0, 1, 2, 3, 4, 5]	[4, 1]	[-1, 0, 2, 3, 5]	0	0	0
93977	mozart_piano_sonatas	K331-1	123.0	V	[1, 5, 2]	1	[0, 1, 2, 4, 5, 6]	[5, 2]	[0, 1, 4, 6]	0	0	1
93978	mozart_piano_sonatas	K331-1	124.5	V7	[1, 5, 2, -1]	1	[-1, 1, 2, 4, 6]	[5, 2, -1]	[1, 4, 6]	0	0	1
93979	mozart_piano_sonatas	K331-1	126.0	vi7	[3, 0, 4, 1]	3	[0, 1, 3, 4, 8]	[0, 4, 1]	[3, 8]	0	0	3
93980	mozart_piano_sonatas	K331-1	127.0	V65	[5, 2, -1, 1]	1	[5, -1, 1, 2]	[5, 2, -1]	[1]	0	0	0
93981	mozart_piano_sonatas	K331-1	127.5	I	[0, 4, 1]	0	[5, 0, 1, 4]	[4, 1]	[5, 0]	0	0	0
93982	mozart_piano_sonatas	K331-1	128.5	ii6	[-1, 3, 2]	2	[-1, 2, 3]	[-1, 3]	[2]	0	0	0
93983	mozart_piano_sonatas	K331-1	129.0	V(64)	[1, 0, 4]	1	[6, 0, 1, 4]	[0, 4]	[6, 1]	0	0	1
93984	mozart_piano_sonatas	K331-1	130.0	V7	[1, 5, 2, -1]	1	[5, -1, 1, 2]	[5, 2, -1]	[1]	0	0	0
93985	mozart_piano_sonatas	K331-1	130.5	I	[0, 4, 1]	0	[-1, 0, 1, 2, 4, 5]	[4, 1]	[-1, 0, 2, 5]	0	0	0
